               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.03879,            0.033376,            0.015255,             0.72719,             0.68812,             0.73801,             0.46676,            0.034025,            0.019318,           0.0082463,            0.006436,            0.006436,            0.006436
                  38,             0.03864,            0.033331,            0.015251,             0.73127,             0.68503,             0.73782,             0.46668,            0.033958,            0.019299,           0.0081943,            0.006337,            0.006337,            0.006337
                  39,            0.038774,            0.033289,            0.015239,             0.73718,              0.6843,             0.74057,             0.47032,            0.033958,            0.019296,           0.0081674,            0.006238,            0.006238,            0.006238
                  40,            0.038572,            0.033123,            0.015085,             0.71838,             0.69096,             0.74009,             0.47077,            0.033815,            0.019244,           0.0080258,            0.006139,            0.006139,            0.006139
                  41,            0.038457,            0.033059,            0.014922,             0.73003,             0.69782,             0.74551,             0.47327,             0.03372,            0.019153,           0.0079834,             0.00604,             0.00604,             0.00604
                  42,              0.0384,            0.032773,            0.015274,             0.73759,             0.68899,             0.74771,             0.47489,            0.033676,             0.01912,           0.0078579,            0.005941,            0.005941,            0.005941
                  43,            0.038389,            0.033138,            0.014922,             0.72924,             0.69967,             0.74708,             0.47387,            0.033664,            0.019126,           0.0078653,            0.005842,            0.005842,            0.005842
                  44,            0.038039,            0.032584,            0.014725,             0.72846,             0.70126,             0.74795,             0.47428,             0.03365,            0.019119,           0.0078231,            0.005743,            0.005743,            0.005743
                  45,            0.038179,            0.033181,            0.014559,             0.73286,             0.70193,             0.74769,             0.47558,            0.033626,            0.019086,           0.0078394,            0.005644,            0.005644,            0.005644
                  46,            0.037868,            0.032542,            0.014474,             0.73057,             0.70107,             0.75091,              0.4769,             0.03356,            0.019094,           0.0078169,            0.005545,            0.005545,            0.005545
                  47,            0.037795,            0.032863,            0.014232,             0.73285,             0.70293,             0.75259,               0.479,              0.0335,            0.019078,           0.0078088,            0.005446,            0.005446,            0.005446
                  48,            0.037677,            0.032845,            0.014147,             0.72707,              0.7042,             0.75208,             0.48058,            0.033484,            0.019069,           0.0077989,            0.005347,            0.005347,            0.005347
                  49,            0.037616,            0.032855,            0.014101,             0.73306,             0.69811,             0.75173,             0.48145,             0.03345,            0.019051,           0.0077495,            0.005248,            0.005248,            0.005248
                  50,            0.037824,            0.032465,            0.013904,             0.73395,             0.69908,             0.75168,             0.48229,            0.033443,            0.019038,           0.0077303,            0.005149,            0.005149,            0.005149
                  51,            0.037596,            0.032594,            0.013682,             0.73054,              0.7027,             0.75278,             0.48366,             0.03341,            0.019032,           0.0077114,             0.00505,             0.00505,             0.00505
                  52,            0.037381,            0.032307,            0.013803,             0.72853,              0.7092,             0.75397,             0.48435,            0.033357,            0.019028,           0.0076676,            0.004951,            0.004951,            0.004951
                  53,            0.037295,            0.032479,            0.013603,             0.73471,             0.70453,             0.75487,             0.48512,            0.033311,            0.019011,           0.0076621,            0.004852,            0.004852,            0.004852
                  54,            0.037148,            0.032552,             0.01338,             0.73554,             0.70274,             0.75494,             0.48571,            0.033255,            0.018996,           0.0076521,            0.004753,            0.004753,            0.004753
                  55,            0.037114,            0.032627,            0.013441,             0.73779,             0.70242,             0.75549,             0.48641,            0.033203,            0.018986,           0.0076054,            0.004654,            0.004654,            0.004654
                  56,            0.037096,            0.032337,            0.013187,             0.73686,             0.70337,              0.7575,             0.48788,            0.033148,             0.01897,           0.0075789,            0.004555,            0.004555,            0.004555
                  57,             0.03703,            0.032433,            0.013112,             0.73677,             0.70436,             0.75868,             0.48894,            0.033111,            0.018954,            0.007547,            0.004456,            0.004456,            0.004456
                  58,            0.036912,             0.03184,            0.013104,             0.73752,             0.70136,               0.759,             0.48953,            0.033074,            0.018937,           0.0075314,            0.004357,            0.004357,            0.004357
                  59,            0.036832,            0.032137,            0.013037,             0.73567,             0.70597,             0.76038,             0.48997,            0.033044,            0.018924,           0.0074908,            0.004258,            0.004258,            0.004258
                  60,             0.03683,            0.032293,            0.012817,             0.74662,             0.69707,             0.76047,             0.49081,            0.033018,             0.01891,           0.0074779,            0.004159,            0.004159,            0.004159
