               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.037675,            0.032491,             0.01493,             0.74447,             0.69888,             0.75858,             0.49416,            0.032755,            0.018671,           0.0078677,            0.006436,            0.006436,            0.006436
                  38,            0.037647,            0.032456,            0.014814,             0.74013,             0.70101,             0.75791,             0.49595,            0.032695,            0.018632,           0.0077952,            0.006337,            0.006337,            0.006337
                  39,            0.037667,            0.032371,            0.014881,             0.74706,             0.70058,             0.76163,             0.50118,            0.032548,            0.018588,           0.0076468,            0.006238,            0.006238,            0.006238
                  40,            0.037475,             0.03226,            0.014749,             0.73762,             0.71306,             0.76335,             0.49999,            0.032496,            0.018647,           0.0076261,            0.006139,            0.006139,            0.006139
                  41,            0.037312,             0.03217,            0.014298,             0.75167,             0.70621,              0.7669,             0.50243,            0.032434,            0.018575,           0.0076142,             0.00604,             0.00604,             0.00604
                  42,            0.037207,            0.031862,             0.01459,             0.75256,             0.71089,             0.76936,             0.50384,            0.032489,            0.018541,           0.0075273,            0.005941,            0.005941,            0.005941
                  43,            0.037169,            0.032316,             0.01465,                0.75,             0.71346,             0.76949,             0.50663,            0.032404,            0.018526,           0.0074688,            0.005842,            0.005842,            0.005842
                  44,             0.03682,            0.031629,             0.01418,             0.74489,             0.71297,             0.77217,             0.51013,            0.032264,             0.01849,            0.007305,            0.005743,            0.005743,            0.005743
                  45,            0.036929,            0.032149,            0.013918,              0.7492,              0.7151,              0.7747,             0.51189,            0.032172,            0.018445,           0.0072618,            0.005644,            0.005644,            0.005644
                  46,            0.036635,            0.031589,            0.013937,             0.74966,             0.71405,             0.77377,             0.51268,            0.032138,            0.018441,           0.0072544,            0.005545,            0.005545,            0.005545
                  47,            0.036512,            0.031847,             0.01368,             0.74868,             0.71804,              0.7742,             0.51319,            0.032072,            0.018439,             0.00723,            0.005446,            0.005446,            0.005446
                  48,            0.036341,            0.031814,            0.013664,              0.7492,             0.72196,             0.77544,             0.51519,            0.032026,            0.018408,           0.0072789,            0.005347,            0.005347,            0.005347
                  49,            0.036409,            0.031836,            0.013604,             0.74705,             0.72629,             0.77563,             0.51505,            0.031985,            0.018402,           0.0073322,            0.005248,            0.005248,            0.005248
                  50,            0.036448,             0.03145,              0.0133,             0.75533,             0.71861,             0.77736,              0.5172,            0.031958,            0.018372,           0.0073145,            0.005149,            0.005149,            0.005149
                  51,            0.036262,            0.031544,            0.013108,             0.75718,              0.7196,             0.77851,             0.51837,            0.031917,            0.018373,           0.0072581,             0.00505,             0.00505,             0.00505
                  52,            0.035987,             0.03133,            0.013208,             0.75824,             0.72432,             0.77988,             0.52058,            0.031853,            0.018348,           0.0071905,            0.004951,            0.004951,            0.004951
                  53,            0.035975,            0.031486,             0.01329,             0.75964,             0.72214,             0.78069,             0.52142,            0.031816,            0.018337,           0.0071347,            0.004852,            0.004852,            0.004852
                  54,            0.035806,            0.031512,            0.012971,             0.76707,             0.71945,             0.78124,              0.5225,            0.031766,            0.018319,           0.0070802,            0.004753,            0.004753,            0.004753
                  55,            0.035688,            0.031557,            0.012997,             0.76345,              0.7231,             0.78227,             0.52313,            0.031733,            0.018302,            0.006986,            0.004654,            0.004654,            0.004654
                  56,            0.035848,            0.031229,            0.012711,             0.76205,             0.72642,             0.78305,             0.52387,            0.031698,            0.018293,           0.0069211,            0.004555,            0.004555,            0.004555
                  57,            0.035572,            0.031331,            0.012576,             0.76358,             0.72469,             0.78398,             0.52479,            0.031665,            0.018278,           0.0069073,            0.004456,            0.004456,            0.004456
                  58,            0.035483,            0.030811,            0.012567,             0.77108,             0.72156,             0.78504,             0.52573,            0.031622,            0.018261,           0.0068997,            0.004357,            0.004357,            0.004357
                  59,            0.035389,            0.031017,             0.01239,             0.76975,             0.72137,             0.78555,             0.52719,             0.03159,            0.018248,           0.0068899,            0.004258,            0.004258,            0.004258
                  60,            0.035351,            0.031179,            0.012336,             0.76881,             0.72391,             0.78594,             0.52752,            0.031576,            0.018232,           0.0068959,            0.004159,            0.004159,            0.004159
                  61,            0.034975,            0.030687,            0.012072,             0.76997,             0.72567,             0.78636,             0.52875,            0.031558,            0.018224,           0.0068872,             0.00406,             0.00406,             0.00406
                  62,            0.035043,            0.031011,            0.011901,             0.76642,             0.72908,             0.78658,             0.52943,            0.031538,            0.018217,           0.0068794,            0.003961,            0.003961,            0.003961
                  63,             0.03492,            0.030998,            0.011977,             0.76625,             0.72823,             0.78746,             0.53017,            0.031517,            0.018213,           0.0068817,            0.003862,            0.003862,            0.003862
                  64,            0.034689,            0.030578,            0.011791,             0.76348,              0.7298,             0.78745,             0.53053,            0.031502,            0.018204,            0.006874,            0.003763,            0.003763,            0.003763
                  65,            0.034725,            0.030709,            0.011692,             0.76437,             0.72993,             0.78727,              0.5306,             0.03149,            0.018195,           0.0068679,            0.003664,            0.003664,            0.003664
                  66,            0.034433,            0.030446,             0.01151,             0.76501,             0.73093,             0.78691,             0.53126,            0.031471,             0.01819,           0.0068507,            0.003565,            0.003565,            0.003565
                  67,            0.034219,            0.030594,            0.011396,             0.76364,             0.73128,             0.78693,              0.5312,            0.031454,            0.018183,           0.0068426,            0.003466,            0.003466,            0.003466
                  68,            0.034253,            0.030569,             0.01147,             0.76247,             0.73232,              0.7872,             0.53205,            0.031437,            0.018178,           0.0068391,            0.003367,            0.003367,            0.003367
                  69,            0.034213,            0.030219,            0.011413,             0.76352,             0.73029,             0.78751,             0.53235,            0.031423,             0.01817,           0.0068496,            0.003268,            0.003268,            0.003268
                  70,            0.034048,             0.03029,            0.011241,             0.76008,             0.73407,             0.78786,             0.53245,            0.031417,            0.018162,           0.0068482,            0.003169,            0.003169,            0.003169
                  71,            0.033917,            0.029977,            0.011047,             0.76013,             0.73498,             0.78797,             0.53297,            0.031403,            0.018156,           0.0068399,             0.00307,             0.00307,             0.00307
                  72,            0.033998,            0.030095,            0.011025,             0.75959,             0.73549,             0.78831,             0.53304,            0.031393,             0.01815,           0.0068307,            0.002971,            0.002971,            0.002971
                  73,            0.033913,            0.030026,            0.011039,              0.7616,             0.73438,             0.78912,             0.53362,            0.031386,            0.018144,           0.0068301,            0.002872,            0.002872,            0.002872
                  74,            0.033661,            0.029782,            0.010805,             0.76126,             0.73465,             0.78913,             0.53409,            0.031377,            0.018137,           0.0068264,            0.002773,            0.002773,            0.002773
                  75,            0.033496,            0.029911,            0.010783,             0.76299,             0.73359,             0.78938,             0.53474,            0.031364,            0.018129,            0.006827,            0.002674,            0.002674,            0.002674
                  76,            0.033453,            0.029915,            0.010708,             0.76198,             0.73365,             0.78985,             0.53524,            0.031355,            0.018122,           0.0068223,            0.002575,            0.002575,            0.002575
                  77,            0.032968,            0.029446,            0.010473,             0.76198,             0.73518,             0.79029,             0.53563,            0.031348,            0.018112,           0.0068194,            0.002476,            0.002476,            0.002476
                  78,            0.032968,            0.029641,            0.010365,             0.76179,             0.73538,             0.79063,              0.5357,            0.031342,            0.018106,           0.0068125,            0.002377,            0.002377,            0.002377
                  79,            0.033074,            0.029447,            0.010332,             0.76591,             0.73284,             0.79097,             0.53608,            0.031336,              0.0181,           0.0068069,            0.002278,            0.002278,            0.002278
                  80,            0.032999,             0.02959,            0.010252,             0.76704,             0.73308,              0.7912,             0.53695,             0.03133,            0.018096,           0.0068002,            0.002179,            0.002179,            0.002179
                  81,            0.032822,            0.029545,            0.010151,             0.76503,             0.73423,             0.79136,             0.53714,            0.031322,            0.018092,            0.006797,             0.00208,             0.00208,             0.00208
                  82,            0.032592,            0.029372,           0.0099396,             0.76661,             0.73355,             0.79143,             0.53744,            0.031318,            0.018088,           0.0067933,            0.001981,            0.001981,            0.001981
                  83,            0.032336,            0.028996,           0.0098474,             0.76601,             0.73296,             0.79119,             0.53753,            0.031311,            0.018084,           0.0067915,            0.001882,            0.001882,            0.001882
                  84,            0.032454,            0.029089,           0.0096963,             0.76485,             0.73442,             0.79156,             0.53772,            0.031301,            0.018078,           0.0067898,            0.001783,            0.001783,            0.001783
                  85,            0.032362,            0.029295,           0.0095617,             0.76906,             0.73177,             0.79174,             0.53805,            0.031292,            0.018071,           0.0067875,            0.001684,            0.001684,            0.001684
                  86,            0.032033,            0.029179,           0.0093954,             0.77043,             0.72981,             0.79199,             0.53816,            0.031283,            0.018065,           0.0067827,            0.001585,            0.001585,            0.001585
                  87,            0.032183,            0.028794,           0.0096372,             0.77171,             0.72889,             0.79201,             0.53803,            0.031278,             0.01806,           0.0067766,            0.001486,            0.001486,            0.001486
                  88,            0.031696,            0.028678,           0.0092269,             0.77361,             0.72859,             0.79235,             0.53869,            0.031272,            0.018056,            0.006773,            0.001387,            0.001387,            0.001387
                  89,            0.031747,            0.028798,            0.009088,              0.7751,             0.72888,             0.79257,               0.539,            0.031265,             0.01805,           0.0067723,            0.001288,            0.001288,            0.001288
                  90,            0.031578,            0.028781,           0.0090158,             0.77607,             0.72849,             0.79294,             0.53911,             0.03126,            0.018046,           0.0067699,            0.001189,            0.001189,            0.001189
                  91,            0.031409,             0.02848,           0.0088524,             0.77672,             0.72811,             0.79305,             0.53939,            0.031258,            0.018041,           0.0067669,             0.00109,             0.00109,             0.00109
                  92,            0.031541,            0.028363,            0.009014,             0.77736,             0.72781,             0.79313,             0.53955,            0.031254,            0.018038,           0.0067647,            0.000991,            0.000991,            0.000991
                  93,            0.031335,            0.028489,           0.0086798,             0.77687,             0.72942,             0.79304,             0.53969,            0.031253,            0.018034,           0.0067683,            0.000892,            0.000892,            0.000892
                  94,            0.031096,            0.028116,           0.0085561,             0.77645,             0.73099,             0.79293,             0.54008,            0.031251,            0.018031,           0.0067718,            0.000793,            0.000793,            0.000793
                  95,            0.030666,            0.027941,           0.0086797,             0.77669,             0.73127,               0.793,             0.54046,            0.031246,            0.018029,           0.0067749,            0.000694,            0.000694,            0.000694
                  96,            0.030727,            0.028025,           0.0084359,             0.77688,             0.73191,             0.79313,             0.54056,            0.031243,            0.018027,           0.0067785,            0.000595,            0.000595,            0.000595
                  97,            0.030777,            0.027959,           0.0084451,             0.77497,             0.73237,             0.79312,             0.54076,            0.031241,            0.018024,           0.0067825,            0.000496,            0.000496,            0.000496
                  98,            0.030508,            0.028121,           0.0083623,             0.77532,             0.73201,             0.79324,              0.5413,            0.031238,            0.018023,           0.0067878,            0.000397,            0.000397,            0.000397
                  99,             0.03052,            0.027683,           0.0082194,             0.77831,               0.731,             0.79322,              0.5416,            0.031236,            0.018023,           0.0067903,            0.000298,            0.000298,            0.000298
